Location,_Location_latitude,_Location_longitude,_Location_altitude,_Location_precision,Ward No,Photo,Gender,Age,Got Help,Gov Capacity,neighbours,others,ngo/ingo,relatives,gov,local groups,not sure,Wait period,injured,lost relative,house destroyed/damaged,All: injured..houses destroyed/damaged,Affected: Other,New_Question,Imp: food,Imp:sanitation,Imp: emergency medical treatment,Imp: cash,Imp: tents,Imp: building materials,Imp: all of the above,not accesible: food supplies,not accessible: sanitation,not accessible: emergency supplies,Not accessible: cash,Not accessible: tents,Not accessible: building materials,Not accessible: All of the above,Top priority: foreign employmnet,Top priority: farm/business,Top priority: not sure,Top priority: education,Top priority: rebuilding,Top priority: employment,How do you think relief response could be improved next time,Any comments,start,end,today,username,simserial,subscriberid,deviceid,phonenumber,meta/instanceID,_uuid,_submission_time,_tags,_notes
28.204383 84.743445 2495.4 8.899999618530273,28.204383,84.743445,2495.4,8.899999619,4,n/a,____female,45,____no,__yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no idea,no comment,2015-12-30T17:18:09.000+06:45,2015-12-30T17:20:02.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:4eeef34e-3896-40c4-8c47-c1cc5d0cb6d5,4eeef34e-3896-40c4-8c47-c1cc5d0cb6d5,2015-12-30T12:37:44,,
28.204028 84.747098 1826.5 17.100000381469727,28.204028,84.747098,1826.5,17.10000038,7,n/a,____male,34,____yes,__yes,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,________1_8_we,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no idea,no comment,2015-12-30T17:17:02.000+06:45,2015-12-30T17:18:08.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:d8f548c9-6f96-4c70-8485-cfa2541c8240,d8f548c9-6f96-4c70-8485-cfa2541c8240,2015-12-30T12:37:42,,
28.20334 84.747628 2169.6 7.599999904632568,28.20334,84.747628,2169.6,7.599999905,7,n/a,____female,72,____yes,__yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,________1_8_we,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no idea,no comment,2015-12-30T17:16:00.000+06:45,2015-12-30T17:17:01.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:bdf3b99d-96d7-4c77-883e-2a1942254c81,bdf3b99d-96d7-4c77-883e-2a1942254c81,2015-12-30T12:37:41,,
28.201198 84.749222 1216.2 14,28.201198,84.749222,1216.2,14,4,n/a,____female,26,____yes,__yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,________1_8_we,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,no idea,no comment,2015-12-30T17:14:51.000+06:45,2015-12-30T17:15:59.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:f49eb8de-372f-426d-bf5e-f868e6585bdb,f49eb8de-372f-426d-bf5e-f868e6585bdb,2015-12-30T12:37:39,,
28.206727 84.747087 2397.4 96,28.206727,84.747087,2397.4,96,6,n/a,____male,61,____yes,__yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,________1_8_we,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no idea,no comment,2015-12-30T17:13:40.000+06:45,2015-12-30T17:14:50.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:3edf6ad8-83db-4e61-b949-e7d7fa667bd4,3edf6ad8-83db-4e61-b949-e7d7fa667bd4,2015-12-30T12:37:37,,
28.202837 84.746043 1834.1 20.899999618530273,28.202837,84.746043,1834.1,20.89999962,6,n/a,____male,70,____yes,__yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,________1_8_we,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no idea,no comment,2015-12-30T17:12:15.000+06:45,2015-12-30T17:13:40.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:fc225ab6-5bd9-4b4c-abdd-3681a3cd5f39,fc225ab6-5bd9-4b4c-abdd-3681a3cd5f39,2015-12-30T12:37:36,,
28.202363 84.746373 1696.1 15.199999809265137,28.202363,84.746373,1696.1,15.19999981,6,n/a,____female,42,____yes,__yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,________1_8_we,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no idea,no comment,2015-12-30T17:11:16.000+06:45,2015-12-30T17:12:15.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:01cdec55-6121-4b5c-9b3d-733350ab227f,01cdec55-6121-4b5c-9b3d-733350ab227f,2015-12-30T12:37:34,,
28.2026 84.74608 1761.1 10.699999809265137,28.2026,84.74608,1761.1,10.69999981,8,n/a,____male,86,____yes,__yes,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,________1_8_we,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no idea,no comment,2015-12-30T17:10:13.000+06:45,2015-12-30T17:11:15.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:3136a1d4-d460-41a4-b0b7-cd772d61e18f,3136a1d4-d460-41a4-b0b7-cd772d61e18f,2015-12-30T12:37:33,,
28.202568 84.746125 0 727.5969848632812,28.202568,84.746125,0,727.5969849,8,n/a,____female,79,____yes,__yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,________1_8_we,TRUE,FALSE,TRUE,FALSE,FALSE,n/a,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no idea,no comment,2015-12-30T17:01:56.000+06:45,2015-12-30T17:10:12.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:82f6ba5f-828a-4dc4-b360-5331fc42426c,82f6ba5f-828a-4dc4-b360-5331fc42426c,2015-12-30T12:37:31,,
28.202568 84.746125 1737.7 13.5,28.202568,84.746125,1737.7,13.5,6,n/a,____female,60,____yes,__yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,________1_8_we,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no idea,no comment,2015-12-30T17:01:00.000+06:45,2015-12-30T17:01:56.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:9a13120d-72ab-4f8e-bcf3-b07cc830f3f1,9a13120d-72ab-4f8e-bcf3-b07cc830f3f1,2015-12-30T12:37:30,,
28.202633 84.745938 1796.9 25.200000762939453,28.202633,84.745938,1796.9,25.20000076,4,n/a,____female,31,____yes,__yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,________1_8_we,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no idea,no comment,2015-12-30T16:59:33.000+06:45,2015-12-30T17:01:00.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:2cf35d4e-f4dc-403a-b859-f2656c02c79b,2cf35d4e-f4dc-403a-b859-f2656c02c79b,2015-12-30T12:37:28,,
28.203438 84.747312 0 204.7050018310547,28.203438,84.747312,0,204.7050018,4,n/a,____female,31,____yes,__yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,________1_8_we,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no idea,no comment,2015-12-30T16:58:33.000+06:45,2015-12-30T16:59:32.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:97a25a9e-abf6-464e-8615-809dc5d9f175,97a25a9e-abf6-464e-8615-809dc5d9f175,2015-12-30T12:37:26,,
28.203438 84.747312 2160 16.100000381469727,28.203438,84.747312,2160,16.10000038,4,n/a,____male,60,____yes,__yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,________1_8_we,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,no idea,no comment,2015-12-30T16:57:13.000+06:45,2015-12-30T16:58:32.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:4510856c-28f6-478e-9ade-30d7ec636ed5,4510856c-28f6-478e-9ade-30d7ec636ed5,2015-12-30T12:37:25,,
28.202858 84.74652 1763.1 18.600000381469727,28.202858,84.74652,1763.1,18.60000038,4,n/a,____male,33,____yes,__yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,________1_8_we,TRUE,FALSE,TRUE,FALSE,FALSE,n/a,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,no idea,no comment,2015-12-30T16:55:56.000+06:45,2015-12-30T16:57:12.000+06:45,30/12/2015,n/a,no simserial property in enketo,no subscriberid property in enketo,enketo.kobotoolbox.org:L6HSednGsBLCTSWv,no phonenumber property in enketo,uuid:94571229-1f9d-4972-b079-2d418bdc5c74,94571229-1f9d-4972-b079-2d418bdc5c74,2015-12-30T12:37:23,,
